02,08-12-202212:33:05,GPU1temperature,GPU1usage,GPU1coreclock,GPU1memoryclock,GPU1power,CPUusage,RAMusage,Framerate,Frametime,Framerate1%Low,Framerate0.1%Low
80,08-12-202212:36:35,71.000,100.000,1935.000,9701.998,320.082,11.744,20947.000,104.300,10.441,84.300,1.200
80,08-12-202212:36:36,71.000,100.000,1950.000,9701.998,321.866,11.943,20945.000,104.500,10.912,84.300,1.200
80,08-12-202212:36:37,71.000,100.000,1950.000,9701.998,320.505,12.548,20941.000,105.000,10.526,84.300,1.200
80,08-12-202212:36:38,71.000,100.000,1935.000,9701.998,321.304,11.844,20941.000,104.500,10.638,84.300,1.200
80,08-12-202212:36:39,71.000,100.000,1950.000,9701.998,324.141,12.238,20941.000,104.200,10.881,84.300,1.200
80,08-12-202212:36:40,71.000,100.000,1950.000,9701.998,321.344,11.512,20942.000,104.800,10.773,84.300,1.200
80,08-12-202212:36:41,70.000,100.000,1935.000,9701.998,323.502,11.722,20947.000,104.200,10.375,84.300,1.200
80,08-12-202212:36:42,70.000,100.000,1920.000,9701.998,315.647,12.106,20963.000,102.100,10.871,84.300,1.200
80,08-12-202212:36:43,70.000,100.000,1950.000,9701.998,326.876,12.164,20962.000,105.100,10.742,84.400,1.200
80,08-12-202212:36:44,70.000,100.000,1920.000,9701.998,311.290,12.526,20964.000,104.400,10.740,84.400,1.200
80,08-12-202212:36:45,71.000,100.000,1935.000,9701.998,320.171,11.223,20964.000,103.800,10.749,84.400,1.200
80,08-12-202212:36:46,71.000,100.000,1935.000,9701.998,321.138,11.091,20964.000,103.300,10.959,84.400,1.200
80,08-12-202212:36:47,71.000,100.000,1935.000,9701.998,320.493,13.807,20964.000,103.200,11.044,84.400,1.200
